-----------------------------------------------------------------------------------------
Test Sentence: Lance is highly knowledgeable on this subject.
Top 100 Translations
	Lance was very perceptive about the subject.
	Lance had a lot of insight into the subject.
	Lance is very perceptive about the subject.
	Lance is very keenly perceptive with regard to the subject.
	Lance was very intuitive on the subject.
	Lance had a very perceptive vision of the subject.
	Lance was so perceptive about the subject.
	Lance is very perceptive on the subject.
	Lance is very perceptive on the subject.
	Lance was very perceptive on the subject.
	Lance is very learned on the subject. This is very intellificent at the oblem.
	- This are very knowledgeable at the oblem.
	This are very intelligent at the oblem.
	This is very intelligent at the oblem.
	Lance is learned on the hour. This are very informative at the hour.
	This are very intellicent at the oblem.
	This are very intelligent at the end.
	This are very intellicent at the oblem.
	This are very educated at the end.
	This are very knowledgeable at the oblem.
	Lance has a great knowledge about the topic. Lance has an enormous knowledge of the subject.
	Lance knows a lot about this subject and Lance knows a lot about it.
	Lance has a lot of knowledge about it. Lance has a lot of knowledge about it.
	Lance has a deep knowledge of the subject. Lance has an enormous knowledge of the subject.
	Lance has a very rich knowledge of this theme. Lance knows about it indissoluble ways.
	Lance has a great knowledge of this theme. Lance has a great knowledge of this subject.
	Lance has a rich knowledge on this topic, and Lance has an invaluable understanding of this subject.
	Lance has a wealth of knowledge about the topic. Lance knows an infinite amount of knowledge about the subject.
	Lance is very knowledgeable on the subject, and he has an enormous knowledge of the subject.
	Lance has a wealth of knowledge on this subject. Rance has a lot of understanding on this subject.
	Lance has learned a lot about the subject in this respect.
	Lance is very well aware of the subject in this respect.
	Lance is very much aware of the subject in this respect.
	Lance understands the topic very well in this regard.
	Lance is quite aware of this subject in this respect.
	Lance knows very well about this subject in this respect.
	Lance is very familiar with the subject in this respect.
	Lance is well aware of this subject in this respect.
	Lance is well aware of this subject in this respect.
	Lance has been well aware of this theme in this respect.
	Lance has highly experienced on the one subject.
	Lance has highly excreted on the one subject.
	Lance has highly excrered on the one subject.
	Lance has very well understood on the one subject.
	Lance has highly experienced on the one subject.
	Lance has very well experienced on the one subject.
	Lance has very highly experienced on the one subject.
	Lance has highly experienced on the one subject.
	Lance has highly experienced on the one subject.
	Lance has very well understood on the one subject.
	Lance has quite a lot of knowledge about this problem.
	Lance has a great deal of knowledge about this issue.
	Lance has an extremely good idea of what this is about.
	Lance has a great deal of knowledge about this problem.
	Lance knows a great deal about this problem.
	Lance is very, very knowledgeable about the problem.
	Lance is a great man with knowledge of this issue.
	Lance has a really great knowledge of the problem.
	Lance is a very well informed man on the subject.
	Lance has a great deal of knowledge about this problem.
	Lance knows the topic very well. I can't tell you what you're gonna do.
	Lance knows the subject very well.
	Lance knows the subject very well.
	Lance knows a great deal about the subject.
